Traffic source,Source type,Source title,Views,Watch time (hours),Average view duration,Impressions,Impressions click-through rate (%)
Total,,,9756702,10267135.6798,1:03:08,104195503,8.53
YT_SEARCH.cat tv,,cat tv,3253677,3760731.153,1:09:21,0,
YT_SEARCH.cat videos for cats to watch,,cat videos for cats to watch,804514,784541.4174,0:58:30,0,
YT_SEARCH.birds for cats to watch,,birds for cats to watch,493224,327112.7402,0:39:47,0,
YT_SEARCH.videos for cats,,videos for cats,391009,331243.7236,0:50:49,0,
YT_SEARCH.cat videos,,cat videos,342607,243466.53,0:42:38,0,
YT_SEARCH.고양이가 좋아하는 영상,,고양이가 좋아하는 영상,323955,411703.6252,1:16:15,0,
YT_SEARCH.猫が喜ぶ映像,,猫が喜ぶ映像,293182,163610.1545,0:33:28,0,
YT_SEARCH.cat tv no ads,,cat tv no ads,178329,384136.4256,2:09:14,0,
YT_SEARCH.cat tv for cats to watch,,cat tv for cats to watch,167951,164126.387,0:58:38,0,
YT_SEARCH.tv for cats,,tv for cats,107751,140550.9014,1:18:15,0,
YT_SEARCH.cat,,cat,91829,74439.591,0:48:38,0,
YT_SEARCH.videos for cats to watch,,videos for cats to watch,83978,60697.6158,0:43:22,0,
YT_SEARCH.squirrel videos for cats to watch,,squirrel videos for cats to watch,78246,60929.5253,0:46:43,0,
YT_SEARCH.patsy's garden,,patsy's garden,72104,169186.8846,2:21:00,0,
YT_SEARCH.bird videos for cats to watch,,bird videos for cats to watch,71721,39150.185,0:32:45,0,
YT_SEARCH.cat games,,cat games,63065,51231.4554,0:48:44,0,
YT_SEARCH.birds,,birds,60709,23760.6465,0:23:29,0,
YT_SEARCH.video for cats,,video for cats,59627,33339.1869,0:33:32,0,
YT_SEARCH.birds for cats,,birds for cats,44652,31221.0375,0:41:57,0,
YT_SEARCH.cat tv squirrels,,cat tv squirrels,42877,45646.5339,1:03:52,0,
YT_SEARCH.squirrels,,squirrels,39321,25876.7607,0:39:29,0,
YT_SEARCH.for cats to watch,,for cats to watch,33015,30298.5779,0:55:03,0,
YT_SEARCH.squirrels for cats to watch,,squirrels for cats to watch,29993,19356.5553,0:38:43,0,
YT_SEARCH.cats tv,,cats tv,28473,23518.9418,0:49:33,0,
YT_SEARCH.cats,,cats,28355,20387.8304,0:43:08,0,
YT_SEARCH.cat sensory videos,,cat sensory videos,25906,20653.0273,0:47:50,0,
YT_SEARCH.cat videos for cats to watch no ads,,cat videos for cats to watch no ads,25533,42763.6052,1:40:29,0,
YT_SEARCH.birds video,,birds video,25433,1940.0938,0:04:34,0,
YT_SEARCH.video for cats to watch,,video for cats to watch,24774,12732.8101,0:30:50,0,
YT_SEARCH.bird videos for cats,,bird videos for cats,24568,27384.1916,1:06:52,0,
YT_SEARCH.squirrel,,squirrel,23327,12380.3821,0:31:50,0,
YT_SEARCH.videos para gatos,,videos para gatos,22044,16704.3188,0:45:27,0,
YT_SEARCH.for cats,,for cats,22014,22035.9618,1:00:03,0,
YT_SEARCH.cat video,,cat video,20152,9847.0727,0:29:19,0,
