Traffic source,Source type,Source title,Views,Watch time (hours),Average view duration,Impressions,Impressions click-through rate (%)
Total,,,1795144,3579616.0137,1:59:38,18510655,8.75
YT_SEARCH.dog tv,,dog tv,458254,982358.1786,2:08:37,0,
YT_SEARCH.dog tv for dogs to watch,,dog tv for dogs to watch,205256,406059.5394,1:58:41,0,
YT_SEARCH.dog tv no ads,,dog tv no ads,78190,227161.3759,2:54:18,0,
YT_SEARCH.tv for dogs,,tv for dogs,58289,113205.2196,1:56:31,0,
YT_SEARCH.dog walk,,dog walk,51714,113094.7097,2:11:12,0,
YT_SEARCH.virtual dog walk,,virtual dog walk,31814,83332.0339,2:37:10,0,
YT_SEARCH.videos para perros,,videos para perros,23782,24742.1577,1:02:25,0,
YT_SEARCH.videos for dogs,,videos for dogs,17806,27673.9085,1:33:15,0,
YT_SEARCH.tv para perros,,tv para perros,16133,17303.1209,1:04:21,0,
YT_SEARCH.harmony hounds,,harmony hounds,12927,33844.7532,2:37:17,0,
YT_SEARCH.dog walking,,dog walking,11063,14454.4389,1:18:23,0,
YT_SEARCH.dog,,dog,10765,15492.4999,1:26:20,0,
YT_SEARCH.nature sounds for dogs,,nature sounds for dogs,9613,20969.9403,2:10:53,0,
YT_SEARCH.tv for dogs to watch,,tv for dogs to watch,8974,15429.8149,1:43:09,0,
YT_SEARCH.for dogs to watch,,for dogs to watch,8122,13622.404,1:40:38,0,
YT_SEARCH.видео для собак,,видео для собак,7876,4394.9846,0:33:28,0,
YT_SEARCH.dog tv for dogs to watch relax,,dog tv for dogs to watch relax,7706,12984.4389,1:41:05,0,
YT_SEARCH.dog videos for dogs to watch,,dog videos for dogs to watch,7664,13212.6119,1:43:26,0,
YT_SEARCH.dog videos,,dog videos,7621,14236.0886,1:52:04,0,
YT_SEARCH.nature walk,,nature walk,6506,10977.1832,1:41:14,0,
YT_SEARCH.dog music,,dog music,6399,13586.1813,2:07:23,0,
YT_SEARCH.dogtv,,dogtv,6168,12673.8269,2:03:17,0,
YT_SEARCH.nature for dogs,,nature for dogs,4678,9067.8861,1:56:18,0,
YT_SEARCH.forest walk,,forest walk,4530,11389.674,2:30:51,0,
YT_SEARCH.for dogs,,for dogs,4524,8441.915,1:51:57,0,
YT_SEARCH.для собак,,для собак,4420,4292.0149,0:58:15,0,
YT_SEARCH.dog tv for dogs to watch no ads,,dog tv for dogs to watch no ads,4383,11486.7936,2:37:14,0,
YT_SEARCH.puppy tv,,puppy tv,4048,7225.9042,1:47:06,0,
YT_SEARCH.video para perros,,video para perros,3725,3252.8797,0:52:23,0,
YT_SEARCH.dogs,,dogs,3589,4546.6754,1:16:00,0,
YT_SEARCH.tele para perros,,tele para perros,3502,2843.6364,0:48:43,0,
YT_SEARCH.dog calming music,,dog calming music,3431,7064.9084,2:03:32,0,
YT_SEARCH.도그티비,,도그티비,3304,5730.3771,1:44:03,0,
YT_SEARCH.video for dogs,,video for dogs,3184,3712.8966,1:09:57,0,
YT_SEARCH.dog walk tv,,dog walk tv,3166,6900.1663,2:10:46,0,
YT_SEARCH.nature videos for dogs,,nature videos for dogs,3139,5706.8214,1:49:04,0,
YT_SEARCH.dog tv no music,,dog tv no music,3028,6928.0719,2:17:16,0,
YT_SEARCH.televisión para perros,,televisión para perros,2845,2760.2716,0:58:12,0,
